DDT,22,24313554,24322660
HCRT,17,40336078,40337470
KRTAP2-1,17,39202793,39203568
LKAAEAR1,20,62714733,62715712
LRRC26,9,140063210,140064503
TMEM185B,2,120978854,120980984
AMY1A,1,104197912,104207176
GNG8,19,47137333,47137942
MTRNR2L6,7,142374104,142375550
USP17L12,4,9221878,9223470
ANKRD63,15,40573645,40574787
C3orf80,3,159943423,159946000
CCL4L2,17,34538326,34540280
DEFB106A,8,7682694,7686575
GVQW1,9,32566787,32568619
KRTAP22-2,21,31962424,31962716
KRTAP23-1,21,31720717,31720927
NPB,17,79858621,79860781
OR5AL1,11,56180220,56181144
OST4,2,27293340,27294641
SETSIP,1,92540090,92540998
AMY1B,1,104230037,104239302
C17orf58,17,65987217,65989765
C4orf48,4,2043720,2045697
GNG3,11,62475130,62476673
IQCF5,3,51907737,51909600
OR10J4,1,159401994,159402928
RNF223,1,1006346,1009687
TCEB3CL2,18,44542731,44544371
AMY1C,1,104293028,104301312
CHCHD1,10,75541805,75543410
CT47A5,X,120092019,120100202
GSC2,22,19136089,19137796
HES5,1,2460184,2461684
KRTAP2-3,17,39215492,39216366
KRTAP9-7,17,39431911,39432949
LCE3B,1,152586287,152586574
OR6J1,14,23102673,23103716
PFN3,5,176827108,176827637
PRR9,1,153190060,153191793
RPL36AL,14,50085237,50087403
SMIM10L2B,X,134229058,134232664
SMIM1,1,3689352,3692546
SPACA4,19,49110000,49110971
TIMM8B,11,111955524,111957522
UBL5,19,9938568,9940791
PNRC2,1,24285599,24289952
SULT1A4,16,29471210,29476297
USP17L27,4,9345874,9347466
SULT1A3,16,30210549,30215631
FAM231C,1,16865561,16866070
OR4F4,15,102462245,102463298
PRLH,2,238475217,238475818
RNF224,9,140121723,140124090
USP17L29,4,9355364,9356956
KRTAP9-6,17,39421591,39422893
USP17L4,8,7194637,7196229
USP17L5,4,9341129,9342721
PGA4,11,60989688,60999399
TMEM158,3,45265958,45267770
NPIPA2,16,14841923,14859270
OR4Q2,14,20470322,20471322
C11orf91,11,33719807,33722347
DEFB4A,8,7752151,7754233
USP17L28,4,9350619,9352211
USP17L30,4,9364855,9366447
USP17L11,4,9217131,9219082
DEFB4B,8,7272382,7274385
USP17L26,4,9336384,9338335
RIMBP3C,22,21899646,21905750
USP17L19,4,9255104,9257055
ADM5,19,50191921,50193832
ERICH4,19,41949063,41950670
KRTAP20-1,21,31988744,31989018
OR5AC1,3,97783316,97784240
SF3B5,6,144416018,144416710
TMEM238,19,55890613,55895966
ZNF593,1,26496362,26498551
C2CD4B,15,62455734,62457482
FAM167B,1,32712834,32714457
USP17L21,4,9264598,9266549
TNP1,2,217724181,217724787
MBD3L5,19,7030588,7033022
POLR2J2,7,102306526,102312076
TCTEX1D4,1,45271585,45272347
USP17L17,4,9245605,9247556
C11orf31,11,57508722,57511026
C19orf67,19,14192431,14196687
CCDC71L,7,106297211,106301442
CLDN3,7,73183327,73184600
COMTD1,10,76993727,76995788
CSTB,21,45192393,45196326
CT47A6,X,120087136,120095341
DUSP28,2,241499471,241503431
G0S2,1,209848765,209849733
GADD45A,1,68150744,68154021
KRTAP1-4,17,39185949,39186356
LCE6A,1,152815344,152816459
MRPL57,13,21750784,21753223
MT3,16,56622986,56625000
OXT,20,3052266,3053163
PET100,19,7694623,7696842
POLR2K,8,101162812,101166230
ROMO1,20,34287194,34288906
SMIM10L1,12,11323780,11328619
SRY,Y,2654896,2655740
ZG16,16,29789561,29794294
CDRT15L2,17,20483037,20484224
EIF3CL,16,28390900,28415200
KRTAP19-6,21,31913854,31914183
RNASEK,17,6915736,6917851
SFTA2,6,30899130,30899952
TMEM78,1,229385383,229387557
OR1D4,17,3143970,3144908
GAGE12C,X,49296814,49304141
OR4F5,1,69091,70008
SSX4,X,48242957,48252789
HBQ1,16,230452,231180
USP17L20,4,9259850,9261801
USP17L25,4,9331637,9333588
GRAPL,17,19030782,19062489
USP17L24,4,9326891,9328842
C1orf234,1,23337327,23342343
CCL19,9,34689564,34691274
DDTL,22,24309089,24314721
EIF1B,3,40351175,40353915
FAM163B,9,136443537,136451319
FRAT1,10,99079024,99081672
HBZ,16,202686,204502
HIST1H2AI,6,27775977,27776479
KRTAP19-2,21,31859376,31859755
MTRNR2L1,17,22022437,22023989
RPRML,17,45055522,45056614
RPS19BP1,22,39925098,39928860
S100G,X,16668281,16672793
